id,price,accommodates,room_type,bedrooms,beds,bathrooms,neighbourhood_group_cleansed,minimum_nights,instant_bookable,review_scores_rating,host_is_superhost,host_total_listings_count,availability_365,latitude,longitude,city
254168,590.0,6,Private room,2.0,3.0,1.0,Brooklyn,1,False,5.0,False,40.0,0,40.73756,-73.9535,NYC
255476,93.0,1,Private room,2.0,2.0,2.0,Brooklyn,30,False,4.94,True,2.0,152,40.71134819720268,-73.95338679325236,NYC
255601,229.0,2,Entire home/apt,2.0,2.0,1.0,Brooklyn,4,False,4.64,False,1.0,280,40.69101,-73.95018,NYC
255957,495.0,4,Entire home/apt,2.0,2.0,2.0,Manhattan,30,False,4.96,True,3.0,305,40.72032,-73.99462,NYC
248966,95.0,2,Private room,1.0,1.0,2.0,Brooklyn,30,False,4.63,False,2.0,364,40.69913,-73.93107,NYC
249704,185.0,2,Entire home/apt,1.0,1.0,1.0,Brooklyn,30,False,4.79,True,1.0,334,40.71065,-73.94102,NYC
249867,99.0,1,Private room,1.0,1.0,1.0,Brooklyn,30,False,4.71,False,4.0,365,40.68532,-73.91881,NYC
250536,122.0,2,Private room,1.0,3.0,1.0,Manhattan,30,False,5.0,False,2.0,358,40.81146,-73.94469,NYC
250537,360.0,6,Entire home/apt,2.0,2.0,2.0,Manhattan,30,False,,False,2.0,365,40.81128,-73.9433,NYC
251277,115.0,1,Private room,2.0,1.0,2.0,Manhattan,30,False,4.94,False,1.0,362,40.78615,-73.97394,NYC
253332,181.0,2,Private room,1.0,1.0,1.0,Brooklyn,3,False,4.79,False,3.0,315,40.66161712766098,-73.99192061645073,NYC
253466,428.0,4,Entire home/apt,1.0,2.0,1.0,Brooklyn,1,False,4.81,False,40.0,60,40.73756,-73.9535,NYC
260755,590.0,4,Entire home/apt,1.0,1.0,1.0,Manhattan,30,False,4.73,True,5.0,365,40.71704,-74.00908,NYC
263232,125.0,4,Entire home/apt,1.0,2.0,1.0,Manhattan,30,False,,False,1.0,83,40.82176,-73.94522,NYC
263888,247.0,2,Entire home/apt,1.0,1.0,1.0,Manhattan,30,False,4.99,True,3.0,167,40.79632,-73.97643,NYC
266449,126.0,4,Entire home/apt,2.0,2.0,1.0,Manhattan,30,False,4.62,True,2.0,258,40.719482,-73.98877,NYC
253471,428.0,4,Entire home/apt,1.0,2.0,1.0,Brooklyn,1,False,4.77,False,40.0,60,40.73756,-73.9535,NYC
253475,428.0,4,Entire home/apt,1.0,2.0,1.0,Brooklyn,1,False,4.85,False,40.0,60,40.73756,-73.9535,NYC
253800,428.0,4,Entire home/apt,1.0,2.0,1.0,Brooklyn,1,False,4.78,False,40.0,60,40.73756,-73.9535,NYC
253803,428.0,4,Entire home/apt,1.0,2.0,1.0,Brooklyn,1,False,4.88,False,40.0,60,40.73756,-73.9535,NYC
253806,428.0,4,Entire home/apt,1.0,2.0,1.0,Brooklyn,1,False,4.81,False,40.0,60,40.73756,-73.9535,NYC
322037,285.0,5,Entire home/apt,1.0,4.0,1.0,Brooklyn,30,False,4.82,False,1.0,365,40.71923,-73.9582,NYC
325429,225.0,2,Entire home/apt,1.0,1.0,1.0,Manhattan,30,False,4.8,False,3.0,363,40.77534,-73.95106,NYC
328744,237.0,4,Entire home/apt,2.0,3.0,1.0,Brooklyn,30,False,4.86,False,7.0,50,40.66763,-73.95836,NYC
332208,159.0,2,Entire home/apt,2.0,3.0,1.0,Brooklyn,30,False,4.67,True,4.0,363,40.72617,-73.95264,NYC
266753,235.0,4,Entire home/apt,2.0,2.0,1.0,Manhattan,30,False,4.23,False,6.0,365,40.71941,-73.98968,NYC
267652,69.0,1,Private room,1.0,1.0,1.0,Brooklyn,30,False,4.97,True,4.0,238,40.64295,-73.97293,NYC
268335,175.0,2,Entire home/apt,1.0,1.0,1.0,Brooklyn,60,False,5.0,False,11.0,296,40.72136,-73.95674,NYC
269283,65.0,1,Private room,1.0,1.0,1.0,Brooklyn,30,False,4.84,False,2.0,179,40.66385,-73.93229,NYC
269404,95.0,2,Private room,1.0,1.0,1.0,Queens,30,False,4.71,False,29.0,365,40.76716,-73.91177,NYC
333323,75.0,1,Private room,1.0,1.0,1.0,Manhattan,30,False,4.75,False,7.0,314,40.76269,-73.99361,NYC
